No.,Provinsi,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023
I,SEMUA PROVINSI, Rp 52.000 , Rp 48.850 , Rp 39.600 , Rp 41.000 , Rp 34.000 , Rp 33.300 , Rp 34.350 , Rp 34.150 , Rp 31.700 , Rp 33.700 , Rp 36.600 , Rp 49.400 , Rp 68.800 , Rp 70.900 , Rp 77.700 , Rp 65.650 , Rp 53.900 , Rp 48.700 , Rp 57.150 , Rp 42.900 , Rp 36.750 , Rp 38.700 , Rp 38.350 , Rp 68.800 , Rp 59.450 , Rp 50.750 , Rp 58.500 , Rp 50.700 , Rp 48.700 , Rp 75.650 , Rp 80.350 , Rp 61.050 , Rp 59.000 , Rp 50.450 , Rp 43.550 , Rp 52.150 , Rp 56.700 , Rp 53.100 , Rp 58.550 , Rp 43.800 , Rp 38.450 
II,ACEH, Rp 39.150 , Rp 37.100 , Rp 37.100 , Rp 30.000 , Rp 26.650 , Rp 24.400 , Rp 26.000 , Rp 50.500 , Rp 34.650 , Rp 35.750 , Rp 35.500 , Rp 42.600 , Rp 65.250 , Rp 65.850 , Rp 48.750 , Rp 40.100 , Rp 38.400 , Rp 31.400 , Rp 36.150 , Rp 38.600 , Rp 34.900 , Rp 38.750 , Rp 38.650 , Rp 45.350 , Rp 48.350 , Rp 48.850 , Rp 41.900 , Rp 44.400 , Rp 39.150 , Rp 44.500 , Rp 66.250 , Rp 55.850 , Rp 44.000 , Rp 45.250 , Rp 36.750 , Rp 38.150 , Rp 53.100 , Rp 46.350 , Rp 42.250 , Rp 32.750 , Rp 32.350 
III,SUMATERA UTARA, Rp 38.350 , Rp 34.850 , Rp 33.500 , Rp 23.900 , Rp 19.200 , Rp 16.900 , Rp 26.150 , Rp 41.650 , Rp 28.150 , Rp 27.200 , Rp 28.400 , Rp 38.200 , Rp 80.150 , Rp 61.700 , Rp 40.100 , Rp 33.750 , Rp 31.400 , Rp 28.450 , Rp 36.200 , Rp 39.300 , Rp 36.700 , Rp 36.900 , Rp 33.200 , Rp 41.250 , Rp 55.300 , Rp 47.750 , Rp 38.100 , Rp 36.500 , Rp 35.300 , Rp 40.800 , Rp 70.650 , Rp 51.850 , Rp 45.550 , Rp 37.650 , Rp 30.550 , Rp 36.900 , Rp 63.450 , Rp 43.950 , Rp 37.400 , Rp 25.400 , Rp 22.000 
IV,SUMATERA BARAT, Rp 38.000 , Rp 38.400 , Rp 39.000 , Rp 29.400 , Rp 25.000 , Rp 23.750 , Rp 29.000 , Rp 34.250 , Rp 27.250 , Rp 31.900 , Rp 33.750 , Rp 38.250 , Rp 57.150 , Rp 69.150 , Rp 51.500 , Rp 40.000 , Rp 35.900 , Rp 34.750 , Rp 37.750 , Rp 37.000 , Rp 35.250 , Rp 40.900 , Rp 36.500 , Rp 40.250 , Rp 56.500 , Rp 54.150 , Rp 38.000 , Rp 34.750 , Rp 39.750 , Rp 49.250 , Rp 67.750 , Rp 45.650 , Rp 50.000 , Rp 45.000 , Rp 33.750 , Rp 41.900 , Rp 63.650 , Rp 44.000 , Rp 36.250 , Rp 30.750 , Rp 29.250 
V,RIAU, Rp 41.450 , Rp 46.150 , Rp 40.150 , Rp 32.950 , Rp 25.250 , Rp 27.000 , Rp 29.700 , Rp 39.400 , Rp 29.100 , Rp 29.000 , Rp 29.000 , Rp 38.100 , Rp 75.450 , Rp 68.650 , Rp 57.100 , Rp 48.300 , Rp 41.050 , Rp 34.450 , Rp 40.900 , Rp 41.250 , Rp 31.400 , Rp 36.150 , Rp 34.850 , Rp 40.850 , Rp 64.500 , Rp 48.200 , Rp 42.100 , Rp 40.850 , Rp 49.900 , Rp 64.950 , Rp 90.700 , Rp 66.700 , Rp 55.450 , Rp 50.200 , Rp 35.500 , Rp 40.650 , Rp 59.750 , Rp 50.000 , Rp 46.000 , Rp 35.900 , Rp 34.150 
VI,KEPULAUAN RIAU, Rp 47.250 , Rp 49.600 , Rp 49.200 , Rp 41.750 , Rp 37.000 , Rp 30.500 , Rp 29.850 , Rp 31.750 , Rp 28.500 , Rp 30.350 , Rp 34.450 , Rp 34.950 , Rp 72.650 , Rp 86.550 , Rp 63.550 , Rp 52.650 , Rp 35.450 , Rp 29.000 , Rp 40.600 , Rp 32.250 , Rp 33.250 , Rp 33.950 , Rp 35.950 , Rp 48.400 , Rp 61.600 , Rp 51.950 , Rp 40.600 , Rp 41.250 , Rp 54.850 , Rp 67.950 , Rp 87.450 , Rp 62.450 , Rp 56.550 , Rp 43.750 , Rp 34.150 , Rp 34.400 , Rp 62.300 , Rp 53.950 , Rp 61.350 , Rp 48.000 , Rp 46.850 
VII,JAMBI, Rp 45.550 , Rp 61.800 , Rp 41.100 , Rp 42.100 , Rp 26.450 , Rp 24.900 , Rp 28.400 , Rp 39.650 , Rp 23.650 , Rp 24.200 , Rp 27.950 , Rp 44.650 , Rp 73.350 , Rp 81.600 , Rp 79.200 , Rp 65.250 , Rp 45.700 , Rp 36.000 , Rp 46.250 , Rp 35.050 , Rp 29.600 , Rp 30.350 , Rp 28.450 , Rp 38.050 , Rp 65.150 , Rp 38.400 , Rp 44.900 , Rp 38.850 , Rp 42.150 , Rp 65.650 , Rp 97.200 , Rp 63.750 , Rp 52.500 , Rp 53.550 , Rp 35.550 , Rp 39.950 , Rp 65.500 , Rp 53.900 , Rp 53.900 , Rp 39.050 , Rp 30.450 
VIII,BENGKULU, Rp 37.100 , Rp 42.250 , Rp 40.950 , Rp 31.950 , Rp 25.200 , Rp 28.100 , Rp 26.100 , Rp 28.650 , Rp 21.900 , Rp 24.650 , Rp 27.600 , Rp 30.050 , Rp 41.400 , Rp 62.500 , Rp 58.150 , Rp 49.850 , Rp 29.950 , Rp 27.450 , Rp 33.400 , Rp 34.900 , Rp 24.850 , Rp 29.500 , Rp 28.700 , Rp 31.700 , Rp 48.200 , Rp 40.900 , Rp 33.400 , Rp 34.750 , Rp 33.400 , Rp 52.400 , Rp 77.900 , Rp 53.400 , Rp 45.100 , Rp 45.850 , Rp 31.600 , Rp 35.300 , Rp 43.600 , Rp 41.900 , Rp 41.650 , Rp 33.050 , Rp 30.800 
IX,SUMATERA SELATAN, Rp 45.650 , Rp 58.250 , Rp 48.100 , Rp 41.700 , Rp 19.250 , Rp 29.900 , Rp 30.650 , Rp 37.000 , Rp 30.250 , Rp 31.200 , Rp 33.200 , Rp 44.400 , Rp 69.850 , Rp 77.200 , Rp 79.650 , Rp 70.650 , Rp 46.400 , Rp 41.400 , Rp 47.150 , Rp 42.450 , Rp 35.700 , Rp 40.100 , Rp 36.500 , Rp 41.900 , Rp 69.400 , Rp 55.500 , Rp 50.550 , Rp 45.350 , Rp 45.800 , Rp 65.600 , Rp 97.500 , Rp 70.050 , Rp 60.150 , Rp 60.050 , Rp 47.750 , Rp 46.300 , Rp 69.400 , Rp 54.950 , Rp 57.750 , Rp 46.500 , Rp 39.600 
X,KEPULAUAN BANGKA BELITUNG, Rp 46.000 , Rp 53.650 , Rp 44.900 , Rp 42.100 , Rp 38.900 , Rp 35.700 , Rp 39.950 , Rp 35.900 , Rp 34.350 , Rp 34.550 , Rp 29.800 , Rp 38.050 , Rp 68.550 , Rp 72.900 , Rp 89.400 , Rp 72.850 , Rp 54.400 , Rp 32.700 , Rp 64.700 , Rp 56.700 , Rp 38.150 , Rp 41.550 , Rp 40.950 , Rp 45.000 , Rp 100.650 , Rp 60.350 , Rp 58.650 , Rp 57.200 , Rp 50.100 , Rp 73.150 , Rp 111.900 , Rp 78.600 , Rp 67.200 , Rp 69.400 , Rp 53.450 , Rp 44.300 , Rp 67.850 , Rp 66.250 , Rp 72.850 , Rp 53.750 , Rp 48.450 
